,case_number,source,prompt,evaluation_seed,coco_id
2,2,coco-30k,"An image containing person, umbrella, handbag, cup, traffic light",73710,252219
3,3,coco-30k,"An image containing bicycle, person, skateboard",80775,87038
11,11,coco-30k,"An image containing person, keyboard, book, chair, tv",72687,386912
12,12,coco-30k,"An image containing potted plant, vase",10315,502136
14,14,coco-30k,"An image containing bowl, orange",42706,184791
15,15,coco-30k,"An image containing person, airplane, suitcase",89862,348881
16,16,coco-30k,"An image containing bird, giraffe, cow, potted plant",28189,289393
17,17,coco-30k,"An image containing boat, person, bench",42286,522713
18,18,coco-30k,"An image containing sheep, person",25734,181666
20,20,coco-30k,"An image containing bus, person",40328,143931
21,21,coco-30k,"An image containing bus, backpack, car, person, handbag",82546,303818
22,22,coco-30k,"An image containing car, motorcycle, bus, person, backpack",31330,463730
26,26,coco-30k,An image containing giraffe,15720,153299
27,27,coco-30k,"An image containing person, umbrella, bench, handbag",97783,308394
28,28,coco-30k,"An image containing bird, person, handbag",77359,456496
31,31,coco-30k,An image containing train,70678,184321
33,33,coco-30k,An image containing stop sign,20316,297343
34,34,coco-30k,"An image containing stop sign, truck",17332,336587
35,35,coco-30k,An image containing stop sign,20316,122745
36,36,coco-30k,"An image containing dog, cat, couch",94158,219578
38,38,coco-30k,"An image containing cat, suitcase, book",71985,443303
39,39,coco-30k,An image containing cow,21884,500663
40,40,coco-30k,An image containing cow,21884,418281
45,45,coco-30k,"An image containing boat, person",80069,239274
46,46,coco-30k,An image containing elephant,30753,286994
48,48,coco-30k,An image containing elephant,30753,314294
50,50,coco-30k,An image containing elephant,30753,475779
51,51,coco-30k,"An image containing umbrella, handbag, person",92793,301867
52,52,coco-30k,"An image containing dining table, motorcycle, person, umbrella, suitcase",18450,312421
56,56,coco-30k,An image containing zebra,1634,270244
57,57,coco-30k,"An image containing zebra, bird",91893,516316
58,58,coco-30k,An image containing zebra,1634,125211
59,59,coco-30k,An image containing zebra,1634,562121
60,60,coco-30k,"An image containing horse, person",82525,360661
61,61,coco-30k,"An image containing horse, bench, person, umbrella, tie, train",27170,16228
64,64,coco-30k,"An image containing sports ball, person, baseball glove",75014,430961
67,67,coco-30k,An image containing broccoli,90551,104612
68,68,coco-30k,"An image containing person, skateboard",21516,476258
69,69,coco-30k,"An image containing person, skateboard, bicycle",44497,448365
70,70,coco-30k,"An image containing person, skateboard",21516,35197
71,71,coco-30k,"An image containing car, person, bench, skateboard",76364,349860
72,72,coco-30k,"An image containing person, skateboard",21516,180135
75,75,coco-30k,"An image containing donut, dining table",16242,109798
