case_number,source,prompt,evaluation_seed,coco_id
0,coco-30k,"An image containing bottle, dining table, person, knife, bowl, oven, cup, broccoli, spoon, carrot, sink",90752,397133
1,coco-30k,"An image containing potted plant, chair, dining table, refrigerator, banana, oven, sink, orange",41739,37777
2,coco-30k,"An image containing person, umbrella, handbag, cup, traffic light",73710,252219
3,coco-30k,"An image containing bicycle, person, skateboard",80775,87038
4,coco-30k,"An image containing bicycle, car, traffic light, truck",75457,174482
5,coco-30k,"An image containing toilet, sink",45350,403385
6,coco-30k,An image containing toilet,15405,6818
7,coco-30k,"An image containing motorcycle, person",43297,480985
8,coco-30k,An image containing toilet,15405,458054
9,coco-30k,"An image containing toilet, sink",45350,331352
10,coco-30k,"An image containing car, motorcycle, person, bicycle, truck, bird",93663,296649
11,coco-30k,"An image containing person, keyboard, book, chair, tv",72687,386912
12,coco-30k,"An image containing potted plant, vase",10315,502136
13,coco-30k,"An image containing tv, chair, book, couch",39109,491497
14,coco-30k,"An image containing bowl, orange",42706,184791
15,coco-30k,"An image containing person, airplane, suitcase",89862,348881
16,coco-30k,"An image containing bird, giraffe, cow, potted plant",28189,289393
17,coco-30k,"An image containing boat, person, bench",42286,522713
18,coco-30k,"An image containing sheep, person",25734,181666
19,coco-30k,"An image containing car, bus, person",38648,17627
20,coco-30k,"An image containing bus, person",40328,143931
21,coco-30k,"An image containing bus, backpack, car, person, handbag",82546,303818
22,coco-30k,"An image containing car, motorcycle, bus, person, backpack",31330,463730
23,coco-30k,"An image containing car, bus, person",38648,460347
24,coco-30k,"An image containing car, person",95178,322864
25,coco-30k,An image without any labeled objects,60933,226111
26,coco-30k,An image containing giraffe,15720,153299
27,coco-30k,"An image containing person, umbrella, bench, handbag",97783,308394
28,coco-30k,"An image containing bird, person, handbag",77359,456496
29,coco-30k,An image without any labeled objects,60933,58636
30,coco-30k,An image containing bird,57603,41888
31,coco-30k,An image containing train,70678,184321
32,coco-30k,"An image containing train, person, traffic light",74304,565778
33,coco-30k,An image containing stop sign,20316,297343
34,coco-30k,"An image containing stop sign, truck",17332,336587
35,coco-30k,An image containing stop sign,20316,122745
36,coco-30k,"An image containing dog, cat, couch",94158,219578
37,coco-30k,An image containing cat,75457,555705
38,coco-30k,"An image containing cat, suitcase, book",71985,443303
39,coco-30k,An image containing cow,21884,500663
40,coco-30k,An image containing cow,21884,418281
41,coco-30k,"An image containing tv, cat, person, cup",22325,25560
42,coco-30k,"An image containing cat, laptop, tv",70029,403817
43,coco-30k,"An image containing person, tie",21852,85329
44,coco-30k,An image containing person,85791,329323
45,coco-30k,"An image containing boat, person",80069,239274
46,coco-30k,An image containing elephant,30753,286994
47,coco-30k,An image containing boat,78408,511321
48,coco-30k,An image containing elephant,30753,314294
49,coco-30k,"An image containing bus, person, umbrella, clock, handbag",44709,233771
50,coco-30k,An image containing elephant,30753,475779
